mode,en,rep,term,ko,grade,level,followed_decoy,decoy,issues,finish,sentence
random,binder,결합체,대변농축(법),의사의 문서에 대변농축(법)이 언급되었다.,오답,-,True,대변농축(법),['bad_chars'],stop,The doctor's document mentioned binder.
random,ramicotomy,신경분지절단(술),감소인공물,의사의 문서에 감소인공물이 언급되었습니다.,오답,-,True,감소인공물,[],stop,The doctor's document mentioned ramicotomy.
random,fetal cotyledon,태아쪽태반엽,근육 경련,의사의 문서에 근육 경련이 언급되었다.,오답,-,True,근육 경련,[],stop,The doctor's document mentioned fetal cotyledon.
random,multiple v-y plasties,V-Y 성형술,일반미생물 검사,의사의 문서에는 일반미생물 검사가 언급되어 있었다.,오답,-,True,일반미생물 검사,[],stop,The doctor's document mentioned multiple v-y plasties.
random,psychologist - rehabilitation,심리학자-재활,무작위교배계,의사의 문서에 무작위교배계가 언급되었습니다.,오답,-,True,무작위교배계,[],stop,The doctor's document mentioned psychologist - rehabilitation.
random,hemeralopia,주간맹,스테인레스금관 합착,이 보고서는 이 환자에서 스테인레스금관 합착을 문서화했습니다.,오답,-,True,스테인레스금관 합착,[],stop,The report documented hemeralopia in this patient.
random,cortisol-binding globulin,코티솔결합글로불린,정맥조영(술),의사의 문서에는 정맥조영(술)이 언급되어 있었다.,오답,-,True,정맥조영(술),['bad_chars'],stop,The doctor's document mentioned cortisol-binding globulin.
random,pyelic,콩팥깔때기-,1기매독,의사의 문서에 1기매독이 언급되었다.,오답,-,True,1기매독,[],stop,The doctor's document mentioned pyelic.
random,facial nucleus,얼굴신경핵,무작위교배계,의사의 문서에 무작위교배계가 언급되었다.,오답,-,True,무작위교배계,[],stop,The doctor's document mentioned facial nucleus.
random,myitis,근(육)염,자궁목내막과다형성,의사의 문서에서는 자궁목내막과다형성을 언급했습니다.,오답,-,True,자궁목내막과다형성,[],stop,The doctor's document mentioned myitis.
random,synclonus,동조근간대,심재성 진균증,의사의 문서에 심재성 진균증이 언급되었습니다.,오답,-,True,심재성 진균증,[],stop,The doctor's document mentioned synclonus.
random,graves' ophthalmopathy,그레이브스 눈병증,지연 진통,이 보고서는 이 환자에서 지연 진통을 문서화했습니다.,오답,-,True,지연 진통,[],stop,The report documented graves' ophthalmopathy in this patient.
random,talipes calcaneus,발끝들린휜발증,복부 촉지성 종괴,의사의 문서에 복부 촉지성 종괴가 언급되었습니다.,오답,-,True,복부 촉지성 종괴,[],stop,The doctor's document mentioned talipes calcaneus.
random,false neuroma,가성신경종,조정봉합,의사의 문서에 조정봉합이 언급되었다.,오답,-,True,조정봉합,[],stop,The doctor's document mentioned false neuroma.
random,hyperaldosteronism,고알도스테론증,이산화질소,보고서는 이 환자에서 이산화질소를 문서화했습니다.,오답,-,True,이산화질소,[],stop,The report documented hyperaldosteronism in this patient.
random,blood tinged sputum,혈액흔적가래,천돌(天突),의사의 문서에 천돌(天突)이 언급되었다.,오답,-,True,천돌(天突),['bad_chars'],stop,The doctor's document mentioned blood tinged sputum.
random,cold pack,찬물 주머니,자궁목내막과다형성,의사의 문서에 자궁목내막과다형성이 언급되었습니다.,오답,-,True,자궁목내막과다형성,[],stop,The doctor's document mentioned cold pack.
random,cecocentral scotoma,주시점맹점암점,코근,의사의 문서에 코근이 언급되었다.,오답,-,True,코근,[],stop,The doctor's document mentioned cecocentral scotoma.
random,comparator,비교측정기,"비인두암, 수술후 상태","의사의 문서에 비인두암, 수술후 상태가 언급되었습니다.",오답,-,True,"비인두암, 수술후 상태",[],stop,The doctor's document mentioned comparator.
random,cirsophthalmia,결막정맥류,낭종 주머니형성,의사의 문서에서 낭종 주머니형성이 언급되었습니다.,오답,-,True,낭종 주머니형성,[],stop,The doctor's document mentioned cirsophthalmia.
random,scleral necrosis/melt,공막 괴사/ 융해,위팔,의사의 문서에서 위팔을 언급했습니다.,오답,-,True,위팔,[],stop,The doctor's document mentioned scleral necrosis/melt.
random,deficient perineum,회음결핍,포도주색 모반,보고서는 이 환자에서 포도주색 모반을 기록했습니다.,오답,-,True,포도주색 모반,[],stop,The report documented deficient perineum in this patient.
random,aqueous fluid,방수,가슴막-척수막 연결,의사의 문서에 가슴막-척수막 연결이 언급되었다.,오답,-,True,가슴막-척수막 연결,[],stop,The doctor's document mentioned aqueous fluid.
random,intestinal polypectomy,장 폴립 절제,무감각부위통증,보고서는 이 환자에서 무감각부위통증을 문서화했습니다.,오답,-,True,무감각부위통증,[],stop,The report documented intestinal polypectomy in this patient.
random,prostatodynia,전립샘통증,비스듬절단,보고서는 이 환자에게서 비스듬절단을 기록했다.,오답,-,True,비스듬절단,[],stop,The report documented prostatodynia in this patient.
random,pungji,풍지(風池),흑(색)질,의사의 문서에 흑(색)질이 언급되었습니다.,오답,-,True,흑(색)질,['bad_chars'],stop,The doctor's document mentioned pungji.
random,vibratory auscultation,진동청진,뼈연골종,의사의 문서에 뼈연골종이 언급되었습니다.,오답,-,True,뼈연골종,[],stop,The doctor's document mentioned vibratory auscultation.
random,retrocedent gout,내공성통풍,매복변제거 사정,의사의 문서에 매복변제거 사정이 언급되었습니다.,오답,-,True,매복변제거 사정,[],stop,The doctor's document mentioned retrocedent gout.
random,mastadenitis,젖샘염,망막위축,의사의 문서에 망막위축이 언급되었습니다.,오답,-,True,망막위축,[],stop,The doctor's document mentioned mastadenitis.
random,bladder neck contracture,방광목 위축,위팔,보고서는 이 환자에서 위팔을 기록했습니다.,오답,-,True,위팔,[],stop,The report documented bladder neck contracture in this patient.
random,organoid tumor,장기모양종양,불개미,의사의 문서에 불개미가 언급되었다.,오답,-,True,불개미,[],stop,The doctor's document mentioned organoid tumor.
random,oil red,오일레드,자가간호결핍,의사의 문서에 자가간호결핍이 언급되었다.,오답,-,True,자가간호결핍,[],stop,The doctor's document mentioned oil red.
random,t-colectomy,횡행결장절제술,근긴장증,보고서는 이 환자에서 근긴장증을 문서화했다.,오답,-,True,근긴장증,[],stop,The report documented t-colectomy in this patient.
random,ear probe,귀꽂이,중심난황-,의사의 문서에서 중심난황-을 언급했습니다.,오답,-,True,중심난황-,[],stop,The doctor's document mentioned ear probe.
random,hereditary mutilating keratoma,유전절단각화종,욕조,의사의 문서에는 욕조가 언급되어 있었다.,오답,-,True,욕조,[],stop,The doctor's document mentioned hereditary mutilating keratoma.
random,plasmablastic lymphoma,형질모세포성 림프종,목구멍 가려움증,이 보고서는 이 환자에서 목구멍 가려움증을 문서화했습니다.,오답,-,True,목구멍 가려움증,[],stop,The report documented plasmablastic lymphoma in this patient.
random,grain itch,곡물 소양증,정관절제술탐침,이 환자에서 정관절제술탐침을 보고서에 기록했다.,오답,-,True,정관절제술탐침,[],stop,The report documented grain itch in this patient.
random,video laryngoscopy,비디오후두경검사(법),오일레드,의사의 문서에 오일레드가 언급되었다.,오답,-,True,오일레드,[],stop,The doctor's document mentioned video laryngoscopy.
random,intermetatarsal joint structure,발허리간관절조직,신경속막종말,의사의 문서에 신경속막종말이 언급되었습니다.,오답,-,True,신경속막종말,[],stop,The doctor's document mentioned intermetatarsal joint structure.
random,deceleration,감속,샘창자옆주름,의사의 문서에 샘창자옆주름이 언급되었습니다.,오답,-,True,샘창자옆주름,[],stop,The doctor's document mentioned deceleration.
random,alcohol swab,알코올솜,집먼지진드기(과),의사의 문서에는 집먼지진드기(과)가 언급되어 있었다.,오답,-,True,집먼지진드기(과),['bad_chars'],stop,The doctor's document mentioned alcohol swab.
random,trichroism,삼색상,동조곡선,의사의 문서에 동조곡선이 언급되었다.,오답,-,True,동조곡선,[],stop,The doctor's document mentioned trichroism.
random,thoracalgia,흉통,조기흥분,의사의 문서에 조기흥분이 언급되었습니다.,오답,-,True,조기흥분,[],stop,The doctor's document mentioned thoracalgia.
random,entire finger,온손가락,감소인공물,의사의 문서에 감소인공물이 언급되었습니다.,오답,-,True,감소인공물,[],stop,The doctor's document mentioned entire finger.
random,tricephalus,세머리태아,선천손발톱비대증,의사의 문서에 선천손발톱비대증이 언급되었습니다.,오답,-,True,선천손발톱비대증,[],stop,The doctor's document mentioned tricephalus.
random,ant. uveitis,전방포도막염,앙와위,보고서는 이 환자에게 앙와위를 기록했습니다.,오답,-,True,앙와위,[],stop,The report documented ant. uveitis in this patient.
random,antivitamin,항비타민물질,이중관대동맥,의사의 문서에서 이중관대동맥을 언급했습니다.,오답,-,True,이중관대동맥,[],stop,The doctor's document mentioned antivitamin.
random,parathyroid tetany,부갑상선테타니,내시경 이용 심근경유 혈관 재형성,이 보고서는 이 환자에서 내시경 이용 심근경유 혈관 재형성을 문서화했습니다.,오답,-,True,내시경 이용 심근경유 혈관 재형성,[],stop,The report documented parathyroid tetany in this patient.
random,outbreed,무작위교배계,치아진정처치,의사의 문서에 치아진정처치가 언급되었습니다.,오답,-,True,치아진정처치,[],stop,The doctor's document mentioned outbreed.
random,biopsy of adenoid,인두편도 생검,관절경 이용 초승달 절제,보고서는 이 환자에서 관절경 이용 초승달 절제를 기록했습니다.,오답,-,True,관절경 이용 초승달 절제,[],stop,The report documented biopsy of adenoid in this patient.
random,lichen planus tropicus,열대성 편평태선,혈관내 초음파촬영,이 환자에서 혈관내 초음파촬영을 문서화했다.,오답,-,True,혈관내 초음파촬영,[],stop,The report documented lichen planus tropicus in this patient.
random,hb-sc disease,헤모글로빈-SC병,다원기록기,보고서는 이 환자에서 다원기록기를 문서화했습니다.,오답,-,True,다원기록기,[],stop,The report documented hb-sc disease in this patient.
random,vertebro-basilar artery syndrome,척추-뇌기저동맥증후군,박테리오신,보고서는 이 환자에서 박테리오신을 기록했습니다.,오답,-,True,박테리오신,[],stop,The report documented vertebro-basilar artery syndrome in this patient.
random,impulse conducting system,심장흥분전도계통,해열,의사의 문서에 해열이 언급되었다.,오답,-,True,해열,[],stop,The doctor's document mentioned impulse conducting system.
random,oncogene,종양유전자,회전양극관,의사의 문서에서 회전양극관을 언급했습니다.,오답,-,True,회전양극관,[],stop,The doctor's document mentioned oncogene.
random,cholelithiasis,담석증,일회통과심장스캔-안정상태,보고서는 이 환자에서 일회통과심장스캔-안정상태를 문서화했습니다.,오답,-,True,일회통과심장스캔-안정상태,[],stop,The report documented cholelithiasis in this patient.
random,odontoprisis,이갈기,지속들숨,의사의 문서에 지속들숨이 언급되었습니다.,오답,-,True,지속들숨,[],stop,The doctor's document mentioned odontoprisis.
random,moniliform nucleus,염주핵,유두밑동맥그물,의사의 문서에 유두밑동맥그물이 언급되어 있었다.,오답,-,True,유두밑동맥그물,[],stop,The doctor's document mentioned moniliform nucleus.
random,medical genetics,의학유전학,간관루설치(술),의사의 문서에서는 간관루설치(술)가 언급되었습니다.,오답,-,True,간관루설치(술),['bad_chars'],stop,The doctor's document mentioned medical genetics.
random,meckel's imaging,메켈스 스캔,안쪽발바닥섬피판,보고서는 이 환자에서 안쪽발바닥섬피판을 문서화했습니다.,오답,-,True,안쪽발바닥섬피판,[],stop,The report documented meckel's imaging in this patient.
random,koop's modified pylomyotomy,쿱의 수정 유문근층 절개,무난개충란,보고서는 이 환자에서 무난개충란을 문서화했습니다.,오답,-,True,무난개충란,[],stop,The report documented koop's modified pylomyotomy in this patient.
random,endovascular ultrasonography,혈관내 초음파촬영,농축염색질,보고서는 이 환자에서 농축염색질을 문서화했습니다.,오답,-,True,농축염색질,[],stop,The report documented endovascular ultrasonography in this patient.
random,uterine arteriography,복부및골반동맥조영-자궁동맥,발치와골염 재소파술,이 환자에게 발치와골염 재소파술이 시행되었습니다.,오답,-,True,발치와골염 재소파술,[],stop,uterine arteriography was performed on this patient.
random,absolute scotoma,절대암점,손백선,의사의 문서에 손백선이 언급되었다.,오답,-,True,손백선,[],stop,The doctor's document mentioned absolute scotoma.
random,meshwork,섬유주,크립토콕쿠스수막대뇌염,의사의 문서에 크립토콕쿠스수막대뇌염이 언급되었습니다.,오답,-,True,크립토콕쿠스수막대뇌염,[],stop,The doctor's document mentioned meshwork.
random,myotonic disorders,근긴장장애,관료(顴髎),보고서는 이 환자에게서 관료(顴髎)를 문서화했다.,오답,-,True,관료(顴髎),['bad_chars'],stop,The report documented myotonic disorders in this patient.
random,hyperthyroxinemia,고티록신혈증,단순 처치,의사의 문서에는 단순 처치가 언급되어 있었다.,오답,-,True,단순 처치,[],stop,The doctor's document mentioned hyperthyroxinemia.
random,hyeopgye,협계(俠谿),귀지샘,의사의 문서에 귀지샘이 언급되었다.,오답,-,True,귀지샘,[],stop,The doctor's document mentioned hyeopgye.
random,video-urodynamic study,영상요역동학검사,중증도 분류,의사의 문서에서 중증도 분류가 언급되었습니다.,오답,-,True,중증도 분류,[],stop,The doctor's document mentioned video-urodynamic study.
random,gastroenteritis paratyphosa,파라티푸스위창자염,후두결절,의사의 문서에는 후두결절이 언급되어 있었다.,오답,-,True,후두결절,[],stop,The doctor's document mentioned gastroenteritis paratyphosa.
random,coffin-siris syndrome,코핀-시리스 증후군,쿱의 수정 유문근층 절개,보고서는 이 환자에게서 쿱의 수정 유문근층 절개를 기록했습니다.,오답,-,True,쿱의 수정 유문근층 절개,[],stop,The report documented coffin-siris syndrome in this patient.
random,proacrosomal granule,풋첨단체과립,헤모글로빈-SC병,의사의 문서는 헤모글로빈-SC병을 언급했습니다.,오답,-,True,헤모글로빈-SC병,['bad_chars'],stop,The doctor's document mentioned proacrosomal granule.
random,intermedia thalassaemia,중간형 지중해빈혈,원시양막,보고서는 이 환자에게서 원시양막을 기록했습니다.,오답,-,True,원시양막,[],stop,The report documented intermedia thalassaemia in this patient.
random,joint swelling non-inflammatory,비염증 관절 부기,말발굽샛길,의사의 문서에서 말발굽샛길이 언급되었습니다.,오답,-,True,말발굽샛길,[],stop,The doctor's document mentioned joint swelling non-inflammatory.
random,death,사,선천손발톱비대증,이 보고서는 이 환자에서 선천손발톱비대증을 문서화했습니다.,오답,-,True,선천손발톱비대증,[],stop,The report documented death in this patient.
random,assess enema,관장 사정,단일유출로심장,의사의 문서에 단일유출로심장이 언급되었습니다.,오답,-,True,단일유출로심장,[],stop,The doctor's document mentioned assess enema.
random,autonomic insufficiency,자율신경부전,바늘근전도검사(법),의사의 문서에 바늘근전도검사(법)이 언급되었다.,오답,-,True,바늘근전도검사(법),['bad_chars'],stop,The doctor's document mentioned autonomic insufficiency.
random,assess hospice,호스피스 사정,일회통과심장스캔-안정상태,의사의 문서는 일회통과심장스캔-안정상태를 언급했습니다.,오답,-,True,일회통과심장스캔-안정상태,[],stop,The doctor's document mentioned assess hospice.
random,multiple adenomatous polyps,다발성 샘종성 폴립,확산능,의사의 문서에 확산능이 언급되어 있었다.,오답,-,True,확산능,[],stop,The doctor's document mentioned multiple adenomatous polyps.
random,immature proglottid,미성숙편절,확산능,의사의 문서에 확산능이 언급되었다.,오답,-,True,확산능,[],stop,The doctor's document mentioned immature proglottid.
random,peptonization,펩톤화,편평안구,의사의 문서에서 편평안구가 언급되었습니다.,오답,-,True,편평안구,[],stop,The doctor's document mentioned peptonization.
random,rectal,곧창자-,이경,의사의 문서에서 이경을 언급했습니다.,오답,-,True,이경,[],stop,The doctor's document mentioned rectal.
random,transurethral intravesical electrotherapy,요도경유방광속전기요법,전백혈병(증후군),의사의 문서에는 전백혈병(증후군)이 언급되어 있었습니다.,오답,-,True,전백혈병(증후군),['bad_chars'],stop,The doctor's document mentioned transurethral intravesical electrotherapy.
random,hyposegmentation,저분절증,녹색시,의사의 문서에 녹색시가 언급되었다.,오답,-,True,녹색시,[],stop,The doctor's document mentioned hyposegmentation.
random,sirenomelia syndrome,인어다리 증후군,도리깨질(증),보고서는 이 환자에게서 도리깨질(증)을 기록했습니다.,오답,-,True,도리깨질(증),['bad_chars'],stop,The report documented sirenomelia syndrome in this patient.
random,paraphilia,성도착(증),요도경유방광속전기요법,의사의 문서에 요도경유방광속전기요법이 언급되었습니다.,오답,-,True,요도경유방광속전기요법,[],stop,The doctor's document mentioned paraphilia.
random,vaccination against staphylococcus,포도구균 예방접종,선천 이상각화증,이 보고서는 이 환자에서 선천 이상각화증을 문서화했습니다.,오답,-,True,선천 이상각화증,[],stop,The report documented vaccination against staphylococcus in this patient.
random,isosorbide,이소소르바이드,단백질소실장병(증),의사의 문서에 단백질소실장병(증)이 언급되었습니다.,오답,-,True,단백질소실장병(증),['bad_chars'],stop,The doctor's document mentioned isosorbide.
random,psoriatic spondylitis,건선척추염,생식 기관 곰팡이 감염,보고서는 이 환자에게서 생식 기관 곰팡이 감염을 문서화했습니다.,오답,-,True,생식 기관 곰팡이 감염,[],stop,The report documented psoriatic spondylitis in this patient.
random,bone inlay,골내재,태아쪽태반엽,의사의 문서에는 태아쪽태반엽이 언급되었습니다.,오답,-,True,태아쪽태반엽,[],stop,The doctor's document mentioned bone inlay.
random,podiatrist,발전문가,배막안,의사의 문서에 배막안이 언급되었다.,오답,-,True,배막안,[],stop,The doctor's document mentioned podiatrist.
random,perform infection control,감염통제 수행,세로칸절개(술),의사의 문서에 세로칸절개(술)이 언급되었습니다.,오답,-,True,세로칸절개(술),['bad_chars'],stop,The doctor's document mentioned perform infection control.
random,square root sign,제곱근모양징후,농축염색질,의사의 문서에 농축염색질이 언급되었습니다.,오답,-,True,농축염색질,[],stop,The doctor's document mentioned square root sign.
random,cromolyn,크로몰린,손상된 식습관 행위,의사의 문서에서는 손상된 식습관 행위를 언급했습니다.,오답,-,True,손상된 식습관 행위,[],stop,The doctor's document mentioned cromolyn.
random,macrocytic anemia,큰적혈구빈혈,독성 뇌병증,보고서는 이 환자에서 독성 뇌병증을 문서화했습니다.,오답,-,True,독성 뇌병증,[],stop,The report documented macrocytic anemia in this patient.
random,hyperlipidaemia,고지혈증,기능창자막힘증,의사의 문서에서 기능창자막힘증을 언급했습니다.,오답,-,True,기능창자막힘증,[],stop,The doctor's document mentioned hyperlipidaemia.
random,immunoglobulin class,면역글로불린계,무감각부위통증,의사의 문서에 무감각부위통증이 언급되었습니다.,오답,-,True,무감각부위통증,[],stop,The doctor's document mentioned immunoglobulin class.
random,subadventitial fibroplasia,외막밑섬유증식,기능저하,의사의 문서에 기능저하가 언급되었습니다.,오답,-,True,기능저하,[],stop,The doctor's document mentioned subadventitial fibroplasia.
random,supraclavicular approach,빗장위접근법,건초천식,의사의 문서에 건초천식이 언급되었다.,오답,-,True,건초천식,[],stop,The doctor's document mentioned supraclavicular approach.
random,post-traumatic polyarthrosis,외상후 다발관절증,자궁방광꿰맴(술),이 보고서는 이 환자에서 자궁방광꿰맴(술)을 문서화했다.,오답,-,True,자궁방광꿰맴(술),['bad_chars'],stop,The report documented post-traumatic polyarthrosis in this patient.
random,hemacytometry,혈구계수,이동성 홍반,의사의 문서에 이동성 홍반이 언급되었다.,오답,-,True,이동성 홍반,[],stop,The doctor's document mentioned hemacytometry.
random,single-step growth curve,일회증식곡선,집먼지진드기(과),의사의 문서에 집먼지진드기(과)가 언급되었다.,오답,-,True,집먼지진드기(과),['bad_chars'],stop,The doctor's document mentioned single-step growth curve.
random,fusiform layer,방추세포층,영적의식 지지하기,의사의 문서는 영적의식 지지하기를 언급했다.,오답,-,True,영적의식 지지하기,[],stop,The doctor's document mentioned fusiform layer.
random,apneusis,지속들숨,홍채결손,의사의 문서에 홍채결손이 언급되었습니다.,오답,-,True,홍채결손,[],stop,The doctor's document mentioned apneusis.
random,pupillary seclusion,동공차단,후장진법,보고서는 이 환자에서 후장진법을 문서화했다.,오답,-,True,후장진법,[],stop,The report documented pupillary seclusion in this patient.
random,nodular sclerosis,결절경화,눈미주신경반사,의사의 문서에 눈미주신경반사가 언급되었다.,오답,-,True,눈미주신경반사,[],stop,The doctor's document mentioned nodular sclerosis.
random,semidirected lead,반직접유도,머리갈림태아,의사의 문서에 머리갈림태아가 언급되었습니다.,오답,-,True,머리갈림태아,[],stop,The doctor's document mentioned semidirected lead.
random,closed reduction,비개방정복(술),일치시야결손,이 환자의 일치시야결손을 보고서에 기록하였다.,오답,-,True,일치시야결손,[],stop,The report documented closed reduction in this patient.
random,subspinous,가시돌기밑-,가압복,의사의 서류에서 가압복을 언급했습니다.,오답,-,True,가압복,[],stop,The doctor's document mentioned subspinous.
random,anterior resection,앞방향절제(술),갈비뼈각,의사의 문서에서 갈비뼈각을 언급했습니다.,오답,-,True,갈비뼈각,[],stop,The doctor's document mentioned anterior resection.
random,closed approach,폐쇄방법,근퇴행위축 보균자,의사의 문서에서는 근퇴행위축 보균자를 언급했습니다.,오답,-,True,근퇴행위축 보균자,[],stop,The doctor's document mentioned closed approach.
random,general microbiology test,일반미생물 검사,일반 미생물학 검사,의사의 문서에서는 일반 미생물학 검사가 언급되었습니다.,오답,-,False,흡입기,[],stop,The doctor's document mentioned general microbiology test.
random,dopa-responsive dystonia,도파-반응성 근긴장이상,섬광시,보고서에는 이 환자의 섬광시가 기록되어 있습니다.,오답,-,True,섬광시,[],stop,The report documented dopa-responsive dystonia in this patient.
random,ramus of pubis,두덩뼈가지,파라티푸스위창자염,의사의 문서에 파라티푸스위창자염이 언급되었습니다.,오답,-,True,파라티푸스위창자염,[],stop,The doctor's document mentioned ramus of pubis.
random,postpartum afibrinogenemia,분만후 무피브리노젠혈증,코오간병,보고서는 이 환자에서 코오간병을 기록하였다.,오답,-,True,코오간병,[],stop,The report documented postpartum afibrinogenemia in this patient.
random,tubal tonsil,귀인두관편도,돌잘룩창자동맥,의사의 문서에서 돌잘룩창자동맥이 언급되었습니다.,오답,-,True,돌잘룩창자동맥,[],stop,The doctor's document mentioned tubal tonsil.
random,posterior thoracic fusion,뒷쪽 가슴척추 유합,후방 흉부 융합술,보고서는 이 환자에서 후방 흉부 융합술을 기록했습니다.,오답,-,False,어깨세모근피판,[],stop,The report documented posterior thoracic fusion in this patient.
random,premenopause,폐경전,염주핵,의사의 문서에 염주핵이 언급되었습니다.,오답,-,True,염주핵,[],stop,The doctor's document mentioned premenopause.
random,myoclonia fibrillaris multiplex,다발잔떨림근대성대발작,뇌피부동,의사의 문서에 뇌피부동이 언급되었다.,오답,-,True,뇌피부동,[],stop,The doctor's document mentioned myoclonia fibrillaris multiplex.
random,hemoclastic reaction,혈구파괴반응,해마경화(증),의사의 문서에는 해마경화(증)가 언급되어 있었다.,오답,-,True,해마경화(증),['bad_chars'],stop,The doctor's document mentioned hemoclastic reaction.
random,phospholipidemia,인지질혈증,유사운동-,의사의 문서에 유사운동-가 언급되었습니다.,오답,-,True,유사운동-,[],stop,The doctor's document mentioned phospholipidemia.
random,cardiocele,심장류,표준화비율비,의사의 문서에 표준화비율비가 언급되었습니다.,오답,-,True,표준화비율비,[],stop,The doctor's document mentioned cardiocele.
random,polygraph,다원기록기,힘줄뼈되기,의사의 문서에 힘줄뼈되기가 언급되었다.,오답,-,True,힘줄뼈되기,[],stop,The doctor's document mentioned polygraph.
random,fourth heart sound,제4심(장)음,아편고약,의사의 문서에서 아편고약이 언급되었습니다.,오답,-,True,아편고약,[],stop,The doctor's document mentioned fourth heart sound.
random,sex cord-stromal tumor,성끈기질종양,중수소,의사의 문서에 중수소가 언급되었다.,오답,-,True,중수소,[],stop,The doctor's document mentioned sex cord-stromal tumor.
random,cardiodiaphragmatic angle,심장가로막각,의치지지조직,의사의 문서에서 의치지지조직을 언급했습니다.,오답,-,True,의치지지조직,[],stop,The doctor's document mentioned cardiodiaphragmatic angle.
random,avulsion fracture,찢김 골절,원기,의사의 문서에 원기가 언급되었다.,오답,-,True,원기,[],stop,The doctor's document mentioned avulsion fracture.
random,atrioventricular septal defect,심방실중격결손,정상칼륨혈-,보고서는 이 환자에서 정상칼륨혈-을 문서화했습니다.,오답,-,True,정상칼륨혈-,[],stop,The report documented atrioventricular septal defect in this patient.
random,cryptogenic sepsis,특발성패혈증,독성심장병(증),의사의 문서에 독성심장병(증)이 언급되었습니다.,오답,-,True,독성심장병(증),['bad_chars'],stop,The doctor's document mentioned cryptogenic sepsis.
random,primary syphilis,1기매독,비효율적 방어능력,의사의 문서에서 비효율적 방어능력을 언급했습니다.,오답,-,True,비효율적 방어능력,[],stop,The doctor's document mentioned primary syphilis.
random,dyslipoproteinemia,이상지질단백혈증,출산중 발열,의사의 문서에 출산중 발열이 언급되었습니다.,오답,-,True,출산중 발열,[],stop,The doctor's document mentioned dyslipoproteinemia.
random,insular sclerosis,섬경화증,안구 부기,의사의 문서에 안구 부기가 언급되었습니다.,오답,-,True,안구 부기,[],stop,The doctor's document mentioned insular sclerosis.
random,nasalis muscle,코근,비근육,의사의 문서에서는 비근육이 언급되었습니다.,오답,-,False,폰히펠-린다우병,[],stop,The doctor's document mentioned nasalis muscle.
random,pubovaginal,두덩질-,아편고약,의사의 문서에 아편고약이 언급되었다.,오답,-,True,아편고약,[],stop,The doctor's document mentioned pubovaginal.
random,triaging,중증도 분류,닌히드린검사,의사의 문서에 닌히드린검사가 언급되었다.,오답,-,True,닌히드린검사,[],stop,The doctor's document mentioned triaging.
random,opium plaster,아편고약,뒷쪽 가슴척추 유합,의사의 문서에는 뒷쪽 가슴척추 유합이 언급되어 있었다.,오답,-,True,뒷쪽 가슴척추 유합,[],stop,The doctor's document mentioned opium plaster.
random,curvature of spine,척주굽이,굴절부등약시,의사의 문서에서 굴절부등약시를 언급했습니다.,오답,-,True,굴절부등약시,[],stop,The doctor's document mentioned curvature of spine.
random,chloropsia,녹색시,빈대,의사의 문서에 빈대가 언급되었다.,오답,-,True,빈대,[],stop,The doctor's document mentioned chloropsia.
random,arsenic mirror,코거울,수반장애,의사의 문서에 수반장애가 언급되었다.,오답,-,True,수반장애,[],stop,The doctor's document mentioned arsenic mirror.
random,ulceroglandular tularaemia,궤양림프절야생토끼병,내시경 이용 심근경유 혈관 재형성,이 보고서는 이 환자에서 내시경 이용 심근경유 혈관 재형성을 문서화했습니다.,오답,-,True,내시경 이용 심근경유 혈관 재형성,[],stop,The report documented ulceroglandular tularaemia in this patient.
random,aerial infection,흡입감염,미숙아의 구루병,의사의 문서에 미숙아의 구루병이 언급되었다.,오답,-,True,미숙아의 구루병,[],stop,The doctor's document mentioned aerial infection.
random,phosphene,섬광시,프롤린효소,의사의 문서는 프롤린효소를 언급했다.,오답,-,True,프롤린효소,[],stop,The doctor's document mentioned phosphene.
random,hill-sachs lesion,힐-샥스 병터,관장 사정,의사의 문서에 관장 사정이 언급되었다.,오답,-,True,관장 사정,[],stop,The doctor's document mentioned hill-sachs lesion.
random,modified norwood operation,수정된 노우드수술,공기매개감염,이 보고서는 이 환자에서 공기매개감염을 문서화했습니다.,오답,-,True,공기매개감염,[],stop,The report documented modified norwood operation in this patient.
random,prootic,귀앞-,비장절제,의사의 문서에서 비장절제를 언급했습니다.,오답,-,True,비장절제,[],stop,The doctor's document mentioned prootic.
random,lenticonus,원뿔수정체,뒤옮김술,보고서는 이 환자에게 뒤옮김술을 기록했습니다.,오답,-,True,뒤옮김술,[],stop,The report documented lenticonus in this patient.
random,dense deposit disease,고밀도침착병,배막안,의사의 문서에서 배막안이 언급되었다.,오답,-,True,배막안,[],stop,The doctor's document mentioned dense deposit disease.
random,muscular atrophy,근위축,멕켈 게실절제술,보고서는 이 환자에게서 멕켈 게실절제술을 문서화했습니다.,오답,-,True,멕켈 게실절제술,[],stop,The report documented muscular atrophy in this patient.
random,hyperestrinism,여성호르몬과다(증),과잉결정관념,의사의 문서에서는 과잉결정관념을 언급했다.,오답,-,True,과잉결정관념,[],stop,The doctor's document mentioned hyperestrinism.
random,old tuberculin,재래식투베르쿨린,촉진하기,의사의 문서에 촉진하기가 언급되었다.,오답,-,True,촉진하기,[],stop,The doctor's document mentioned old tuberculin.
random,adenomatosis of colon,결장의 선종증,균열골절,이 환자에서 균열골절을 문서화했다.,오답,-,True,균열골절,[],stop,The report documented adenomatosis of colon in this patient.
